timestamp;co2;confort
17420;290.1331636980492;5
17421;390.95062586926286;5
17422;391.7204450625869;5
17423;372.69007881316645;5
17424;378.10106629578115;5
17425;272.5005799118534;5
17426;273.0046360686138;5
17427;377.85558646267964;5
17428;284.5472878998609;5
17429;365.1432545201669;5
17430;624.8147890588781;3
17431;461.8252202132592;4
17432;311.2016109926558;5
17433;312.7719786592438;5
17434;425.40721040189123;4
17437;375.00263852242745;5
17438;448.2166199813259;4
17439;282.8758397034978;5
17440;292.3597957288765;5
17441;341.02364394993043;5
17442;304.00324524802966;5
17443;501.5201668984701;4
17444;380.63931386184515;5
17445;345.2915796798887;5
17446;290.7675011590172;5
17447;298.7086522848527;5
17448;470.4719517848864;4
17449;401.8423736671303;4
17450;427.5834492350487;4
17451;508.94432846207377;4
17452;455.5321271166783;4
17453;286.95155308298564;5
17454;282.4965229485396;5
17455;357.36858638743456;5
17456;391.6080611535789;5
17457;417.93217592592595;4
17458;396.5610377577021;5
17459;438.78017141533473;4
17460;276.61732684734767;5
17461;265.4007412555015;5
17462;332.40393518518516;5
17463;357.9295880149813;5
17470;547.0;4
17491;378.89071038251365;5
17507;425.2495894909688;4
17508;307.28376187167015;5
17509;252.74953703703704;5
17510;235.77731481481482;5
17511;270.0852443826731;5
17512;266.06212746446585;5
17513;337.2966062296606;5
17514;269.98702802872367;5
17515;241.92453703703703;5
17516;243.26314570303452;5
17517;246.89050925925926;5
17518;250.51887885105398;5
17519;267.9416261292564;5
17520;264.95438050803523;5
17528;214.95718329794764;5
17529;218.86031301097876;5
17530;226.21550925925925;5
17531;227.8906648135279;5
17532;210.7051728137323;5
17533;214.42344220523512;5
17534;218.56173268473478;5
17535;219.2585648148148;5
17536;226.70025480657864;5
17537;222.81898148148147;5
17538;229.72851517257354;5
17539;263.50162037037035;5
17540;296.12618203309694;5
17541;292.0449074074074;5
17542;242.87134909596662;5
17543;264.07412555015054;5
17544;250.2962962962963;5
17545;249.28167709057215;5
17546;272.30485634375793;5
17547;235.00787037037037;5
17548;237.2492471623813;5
17549;304.18217592592595;5
17550;236.44104702339587;5
17551;226.7363425925926;5
17552;220.1489460273338;5
17553;228.61130414639797;5
17554;372.8749131341209;5
17555;628.3020616168635;3
17556;410.25995370370373;4
17557;306.3947185545518;5
17558;249.57407407407408;5
17559;271.5832754227473;5
17560;283.7917535325457;5
17561;509.9638888888889;4
17562;671.0333564975678;3
17563;263.63233588494546;5
17564;349.6238425925926;5
17565;234.58304378040305;5
17566;231.51828703703703;5
17567;373.2131109566829;5
17568;419.4988425925926;4
17569;558.0025480657864;4
17570;410.59166666666664;4
17571;555.8482742645356;4
17572;249.27287468149177;5
17573;246.42569444444445;5
17574;289.05814222839933;5
17575;502.46458333333334;4
17576;646.9184618948344;3
17577;452.6722222222222;4
17578;583.7901320361362;4
17579;239.18449074074073;5
17580;234.273106323836;5
17581;452.9699074074074;4
17582;364.58744498494326;5
17583;456.16805555555555;4
17584;437.1114199675701;4
17585;513.3090277777778;4
17586;265.11860088024093;5
17587;243.76412037037036;5
17588;232.74889969886496;5
17589;236.27533735285672;5
17590;219.11026175584897;5
17591;204.09093017861284;5
17592;209.10794533240676;5
17593;227.29074074074074;5
17594;229.51563585823487;5
17595;316.2226851851852;5
17596;438.5274496177901;4
17597;320.381283298587;5
17598;321.52569444444447;5
17599;492.4391938846421;4
17600;223.31203703703704;5
