timestamp;co2;confort
1254272;365.42857142857144;5
1254273;379.9;5
1254274;378.85;5
1254275;293.8;5
1254276;335.95;5
1254277;395.45;5
1254278;351.95;5
1254279;382.95;5
1254280;361.0;5
1254281;311.45;5
1254282;354.45;5
1254283;358.05;5
1254284;290.45;5
1254285;234.65;5
1254286;244.0;5
1254287;234.05;5
1254288;237.8;5
1254289;234.5;5
1254290;236.9;5
1254291;234.85;5
1254292;234.3;5
1254293;233.1578947368421;5
1254294;233.9;5
1254295;240.15;5
1254296;233.95;5
1254297;236.05;5
1254298;236.45;5
1254299;227.6;5
1254300;236.2;5
1254301;233.95;5
1254302;233.5;5
1254303;237.4;5
1254304;238.2;5
1254305;236.55;5
1254306;234.95;5
1254307;233.75;5
1254308;234.8;5
1254309;232.4;5
1254310;233.95;5
1254311;235.7;5
1254312;235.7;5
1254313;231.3;5
1254314;235.5;5
1254315;236.9;5
1254316;236.95;5
1254317;232.7;5
1254318;232.9;5
1254319;241.95;5
1254320;237.4;5
1254321;237.15;5
1254322;240.73684210526315;5
1254323;474.35;4
1254324;680.7;3
1254325;768.7;3
1254326;1033.15;1
1254327;1264.05;0
1254328;1275.8;0
1254329;1118.75;1
1254330;684.65;3
1254331;491.1;4
1254332;418.5;4
1254333;399.45;5
1254334;330.75;5
1254335;381.45;5
1254336;402.2;4
1254337;332.7;5
1254338;323.0;5
1254339;377.6;5
1254340;398.55;5
1254341;423.0;4
1254342;413.25;4
1254343;368.8;5
1254344;402.55;4
1254345;343.05;5
1254346;331.15;5
1254347;427.05;4
1254348;406.35;4
1254349;408.4;4
1254350;422.35;4
1254351;325.1;5
1254352;289.85;5
1254353;347.5;5
1254354;251.3;5
1254355;362.2;5
1254356;414.1;4
1254357;403.35;4
1254358;336.9;5
1254359;247.9;5
1254360;241.21052631578948;5
1254361;237.5;5
1254362;242.25;5
1254363;241.85;5
1254364;237.65;5
1254365;245.8;5
1254366;244.35;5
1254367;237.7;5
1254368;243.05;5
1254369;240.45;5
1254370;251.7;5
1254371;246.55;5
1254372;248.2;5
1254373;244.7;5
1254374;250.4;5
1254375;244.75;5
1254376;245.15;5
1254377;251.1;5
1254378;252.25;5
1254379;248.35;5
1254380;251.9;5
1254381;253.25;5
1254382;252.4;5
1254383;257.6;5
1254384;267.8;5
1254385;265.6;5
1254386;272.85;5
1254387;280.35;5
1254388;274.65;5
1254389;275.7;5
1254390;276.45;5
1254391;276.9;5
1254392;284.1;5
1254393;285.05;5
1254394;288.6;5
1254395;296.7;5
1254396;317.75;5
1254397;323.7;5
1254398;337.65;5
1254399;346.35;5
1254400;355.05;5
1254401;380.8;5
1254402;413.25;4
1254403;427.8;4
1254404;422.75;4
1254405;398.05;5
1254406;420.42105263157896;4
1254407;423.65;4
1254408;401.85;4
1254409;396.0;5
1254410;397.25;5
1254411;381.9;5
1254412;426.7;4
1254413;612.35;3
1254414;650.0;3
1254415;657.95;3
1254416;635.9;3
1254417;633.65;3
1254418;613.85;3
1254419;658.75;3
1254420;441.4;4
1254421;534.9;4
1254422;420.45;4
1254423;451.0;4
1254424;424.65;4
1254425;396.35;5
1254426;488.1;4
1254427;560.65;4
1254428;478.95;4
1254429;450.2;4
1254430;421.75;4
1254431;350.55;5
1254432;315.0;5
1254433;293.3;5
1254434;282.15;5
1254435;280.3157894736842;5
1254436;279.6;5
1254437;276.4;5
1254438;279.65;5
1254439;286.7;5
1254440;280.05;5
1254441;284.7;5
1254442;289.1;5
1254443;291.75;5
1254444;283.2;5
1254445;278.0;5
1254446;267.3;5
1254447;268.0;5
1254448;264.45;5
1254449;255.95;5
1254450;256.9;5
1254451;254.25;5
1254452;245.2;5
1254453;253.95;5
1254454;247.95;5
1254455;254.2;5
1254456;252.05;5
1254457;256.4;5
1254458;252.1;5
1254459;251.65;5
1254460;248.8;5
1254461;252.1;5
1254462;252.05;5
1254463;268.0;5
1254464;265.6;5
1254465;264.7;5
1254466;258.35;5
1254467;258.65;5
1254468;264.15;5
1254469;261.75;5
1254470;276.35;5
1254471;430.85;4
1254472;464.0;4
1254473;499.5;4
1254474;503.95;4
1254475;395.85;5
1254476;353.3;5
1254477;371.85;5
1254478;379.9;5
1254479;394.8;5
1254480;368.05;5
1254481;308.6;5
1254482;273.2;5
1254483;260.7;5
1254484;246.15;5
1254485;249.7;5
1254486;261.85;5
1254487;436.0;4
1254488;554.0;4
1254489;620.35;3
1254490;660.75;3
1254491;631.65;3
1254492;611.25;3
1254493;484.65;4
1254494;469.75;4
1254495;499.05;4
1254496;392.94736842105266;5
1254497;372.1;5
1254498;387.15;5
1254499;431.2;4
1254500;327.45;5
1254501;267.5;5
1254502;246.95;5
1254503;244.1;5
1254504;239.3;5
1254505;247.0;5
1254506;245.65;5
1254507;246.45;5
1254508;243.05;5
1254509;248.9;5
1254510;243.25;5
1254511;243.4;5
1254512;241.9;5
1254513;241.8;5
1254514;239.55;5
1254515;239.1;5
1254516;241.5;5
1254517;244.0;5
1254518;239.2;5
1254519;234.95;5
1254520;238.35;5
1254521;238.7;5
1254522;241.45;5
1254523;236.35;5
1254524;243.95;5
1254525;236.05;5
1254526;233.6;5
1254527;241.95;5
1254528;237.7;5
1254529;243.4;5
1254530;241.45;5
1254531;240.5;5
1254532;242.6;5
1254533;240.7;5
1254534;243.15;5
1254535;251.85;5
1254536;244.9;5
1254537;235.3;5
1254538;239.2;5
1254539;243.4;5
1254540;267.95;5
1254541;265.63157894736844;5
1254542;258.35;5
1254543;378.4;5
1254544;524.3;4
1254545;648.5;3
1254546;633.95;3
1254547;608.75;3
