timestamp;hum;confort
5017090;42.0;3
5017091;42.2;4
5017092;41.0;3
5017093;41.4;3
5017094;41.0;3
5017095;41.2;3
5017096;41.0;3
5017097;41.0;3
5017098;41.0;3
5017099;40.4;3
5017100;40.2;3
5017101;40.2;3
5017102;40.0;3
5017103;40.2;3
5017104;40.0;3
5017105;40.0;3
5017106;41.0;3
5017107;40.4;3
5017108;40.6;3
5017109;40.0;3
5017110;40.2;3
5017111;39.6;3
5017112;40.2;3
5017113;40.2;3
5017114;40.0;3
5017115;39.6;3
5017116;40.0;3
5017117;39.6;3
5017118;39.6;3
5017119;39.6;3
5017120;39.0;3
5017121;39.2;3
5017122;39.0;3
5017123;39.0;3
5017124;38.4;3
5017125;38.6;3
5017126;38.8;3
5017127;38.8;3
5017128;38.4;3
5017129;38.4;3
5017130;38.0;3
5017131;38.2;3
5017132;38.4;3
5017133;38.0;3
5017134;38.2;3
5017135;37.8;3
5017136;37.4;3
5017137;37.0;2
5017138;37.2;3
5017139;36.6;2
5017140;36.8;2
5017141;36.0;2
5017142;36.0;2
5017143;36.4;2
5017144;36.0;2
5017145;36.2;2
5017146;36.6;2
5017147;37.2;3
5017148;37.0;2
5017149;37.4;3
5017150;37.4;3
5017151;37.8;3
5017152;37.6;3
5017153;38.0;3
5017154;38.2;3
5017155;38.0;3
5017156;38.6;3
5017157;38.8;3
5017158;39.2;3
5017159;39.0;3
5017160;39.2;3
5017161;39.0;3
5017162;39.0;3
5017163;39.2;3
5017164;39.4;3
5017165;39.0;3
5017166;40.0;3
5017167;39.8;3
5017168;40.0;3
5017169;40.2;3
5017170;40.2;3
5017171;40.4;3
5017172;41.0;3
5017173;41.2;3
5017174;41.2;3
5017175;41.2;3
5017176;41.6;3
5017177;41.6;3
5017178;41.8;3
5017179;42.0;3
5017180;42.2;4
5017181;42.0;3
5017182;42.2;4
5017183;42.4;4
5017184;42.6;4
5017185;43.2;4
5017186;43.6;4
5017187;44.0;4
5017188;44.2;4
5017189;44.4;4
5017190;45.0;4
5017191;45.6;5
5017192;45.6;5
5017193;45.8;5
5017194;46.0;5
5017195;46.4;5
5017196;46.4;5
5017197;46.6;5
5017198;47.0;5
5017199;47.2;5
5017200;47.0;5
5017201;47.4;5
5017202;47.8;5
5017203;47.4;5
5017204;48.0;5
5017205;48.2;5
5017206;48.0;5
5017207;48.0;5
5017208;48.2;5
5017209;48.6;5
5017210;48.8;5
5017211;48.8;5
5017212;49.2;5
5017213;49.2;5
5017214;49.0;5
5017215;49.2;5
5017216;49.2;5
5017217;49.6;5
5017218;50.2;5
5017219;50.6;5
5017220;50.8;5
5017221;51.0;5
5017222;50.6;5
5017223;50.8;5
5017224;51.2;5
5017225;51.2;5
5017226;50.8;5
5017227;51.2;5
5017228;51.6;5
5017229;51.6;5
5017230;51.6;5
5017231;51.8;5
5017232;51.2;5
5017233;51.8;5
5017234;52.0;5
5017235;52.2;5
5017236;52.0;5
5017237;52.0;5
5017238;52.0;5
5017239;52.2;5
5017240;52.0;5
5017241;52.0;5
5017242;52.0;5
5017243;52.6;5
5017244;52.0;5
5017245;52.0;5
5017246;52.0;5
5017247;52.2;5
5017248;52.0;5
5017249;52.0;5
5017250;52.0;5
5017251;51.8;5
5017252;52.0;5
5017253;52.0;5
5017254;51.8;5
5017255;52.2;5
5017256;52.0;5
5017257;52.2;5
5017258;52.0;5
5017259;52.4;5
5017260;52.4;5
5017261;52.6;5
5017262;52.6;5
5017263;52.8;5
5017264;52.8;5
5017265;52.8;5
5017266;53.2;5
5017267;53.0;5
5017268;53.0;5
5017269;53.0;5
5017270;53.0;5
5017271;52.8;5
5017272;53.0;5
5017273;53.2;5
5017274;53.0;5
5017275;53.2;5
5017276;53.0;5
5017277;53.2;5
5017278;53.4;5
5017279;53.2;5
5017280;53.6;5
5017281;53.4;5
5017282;53.0;5
5017283;53.0;5
5017284;54.0;5
5017285;53.2;5
5017286;53.4;5
5017287;53.2;5
5017288;54.0;5
5017289;53.8;5
5017290;53.8;5
5017291;53.6;5
5017292;54.8;5
5017293;55.4;4
5017294;55.8;4
5017295;55.4;4
5017296;55.0;4
5017297;54.4;5
5017298;54.2;5
