timestamp;hum;confort
-1;;0
1254272;45.8;5
1254273;44.6875;4
1254274;44.4125;4
1254275;44.3;4
1254276;44.5625;4
1254277;44.0375;4
1254278;43.9;4
1254279;43.15;4
1254280;42.875;4
1254281;42.625;4
1254282;42.0875;4
1254283;41.95;3
1254284;41.1375;3
1254285;40.7875;3
1254286;41.575;3
1254287;43.0375;4
1254288;42.9125;4
1254289;43.5625;4
1254290;44.0125;4
1254291;44.775;4
1254292;45.5125;5
1254293;46.1625;5
1254294;47.2625;5
1254295;48.275;5
1254296;50.45;5
1254297;51.5375;5
1254298;52.3625;5
1254299;52.975;5
1254300;53.45;5
1254301;54.125;5
1254302;55.0;4
1254303;55.1375;4
1254304;57.2125;4
1254305;58.85;3
1254306;59.1125;3
1254307;59.2875;3
1254308;58.775;3
1254309;58.8625;3
1254310;58.725;3
1254311;58.775;3
1254312;58.625;3
1254313;58.7875;3
1254314;59.51948051948052;3
1254315;59.4;3
1254316;59.6625;3
1254317;59.75;3
1254318;60.125;3
1254319;60.3;3
1254320;60.5375;3
1254321;60.9625;3
1254322;61.0;3
1254323;61.625;3
1254324;61.9;3
1254325;61.175;3
1254326;60.525;3
1254327;59.7;3
1254328;58.56962025316456;3
1254329;57.7125;4
1254330;56.3125;4
1254331;56.2375;4
1254332;55.55;4
1254333;54.15;5
1254334;53.7875;5
1254335;52.7125;5
1254336;51.65;5
1254337;50.4375;5
1254338;49.6;5
1254339;49.1625;5
1254340;48.35;5
1254341;47.75;5
1254342;46.7125;5
1254343;45.975;5
1254344;45.275;5
1254345;45.4875;5
1254346;47.1125;5
1254347;46.7375;5
1254348;45.725;5
1254349;45.2;5
1254350;44.42857142857143;4
1254351;43.9375;4
1254352;43.7625;4
1254353;43.925;4
1254354;44.0375;4
1254355;43.975;4
1254356;43.5125;4
1254357;43.5625;4
1254358;43.525;4
1254359;44.025;4
1254360;44.7625;4
1254361;45.575;5
1254362;46.1125;5
1254363;46.575;5
1254364;46.6125;5
1254365;46.85;5
1254366;47.2;5
1254367;47.3875;5
1254368;47.9625;5
1254369;48.4;5
1254370;48.9875;5
1254371;49.3375;5
1254372;49.65;5
1254373;50.2125;5
1254374;50.5875;5
1254375;51.05;5
1254376;51.2125;5
1254377;51.375;5
1254378;51.55;5
1254379;52.25974025974026;5
1254380;52.7125;5
1254381;52.675;5
1254382;53.025;5
1254383;53.1;5
1254384;53.5375;5
1254385;53.8375;5
1254386;53.8;5
1254387;53.7875;5
1254388;53.825;5
1254389;54.0875;5
1254390;54.1375;5
1254391;54.25;5
1254392;54.4875;5
1254393;54.8;5
1254394;55.075;4
1254395;54.8;5
1254396;54.7875;5
1254397;54.875;5
1254398;54.55;5
1254399;54.625;5
1254400;54.425;5
1254401;54.0375;5
1254402;54.05;5
1254403;53.7625;5
1254404;53.9875;5
1254405;54.6125;5
1254406;54.6125;5
1254407;54.298701298701296;5
1254408;53.6875;5
1254409;53.725;5
1254410;53.55;5
1254411;53.2375;5
1254412;53.5125;5
1254413;53.875;5
1254414;53.375;5
1254415;52.55;5
1254416;51.9125;5
1254417;51.4;5
1254418;50.8125;5
1254419;49.9375;5
1254420;48.9125;5
1254421;48.0375;5
1254422;47.45;5
1254423;46.9;5
1254424;46.675;5
1254425;46.8375;5
1254426;47.4625;5
1254427;47.05;5
1254428;46.3875;5
1254429;46.1625;5
1254430;46.0875;5
1254431;46.3125;5
1254432;46.95;5
1254433;47.7875;5
1254434;49.2375;5
1254435;50.42857142857143;5
1254436;50.825;5
1254437;51.6625;5
1254438;52.65;5
1254439;53.475;5
1254440;54.1875;5
1254441;54.775;5
1254442;55.3;4
1254443;55.525;4
1254444;55.4125;4
1254445;55.6375;4
1254446;56.2625;4
1254447;56.8875;4
1254448;57.675;4
1254449;58.2625;3
1254450;58.675;3
1254451;59.075;3
1254452;59.425;3
1254453;59.6625;3
1254454;59.6125;3
1254455;59.75;3
1254456;59.9625;3
1254457;60.025;3
1254458;60.41772151898734;3
1254459;60.575;3
1254460;60.625;3
1254461;60.7625;3
1254462;61.0125;3
1254463;61.72727272727273;3
1254464;61.6;3
1254465;61.6;3
1254466;61.9125;3
1254467;62.0375;3
1254468;62.5;3
1254469;63.0625;2
1254470;63.1;2
1254471;63.475;2
1254472;63.1125;2
1254473;62.875;3
1254474;61.875;3
1254475;61.925;3
1254476;61.4875;3
1254477;60.2;3
1254478;58.4375;3
1254479;56.95;4
1254480;55.325;4
1254481;53.4375;5
1254482;52.3125;5
1254483;51.6625;5
1254484;51.5875;5
1254485;51.5625;5
1254486;51.55;5
1254487;51.725;5
1254488;51.8125;5
1254489;51.65;5
1254490;51.0125;5
1254491;50.2375;5
1254492;49.96103896103896;5
1254493;48.0875;5
1254494;46.8;5
1254495;45.35;5
1254496;44.2375;4
1254497;45.0875;5
1254498;44.7375;4
1254499;44.15;4
1254500;42.3;4
1254501;41.4125;3
1254502;41.475;3
1254503;41.7375;3
1254504;42.125;4
1254505;42.7;4
1254506;43.525;4
1254507;44.525;4
1254508;45.5375;5
1254509;46.5;5
1254510;47.3;5
1254511;47.9625;5
1254512;48.6625;5
1254513;49.3;5
1254514;49.8375;5
1254515;50.325;5
1254516;50.2625;5
1254517;50.2125;5
1254518;50.075;5
1254519;50.12987012987013;5
1254520;49.5875;5
1254521;49.725;5
1254522;49.7125;5
1254523;49.525;5
1254524;50.025;5
1254525;50.6;5
1254526;50.725;5
1254527;50.7875;5
1254528;50.3125;5
1254529;50.525;5
1254530;50.5;5
1254531;50.6;5
1254532;50.725;5
1254533;50.5625;5
1254534;50.6125;5
1254535;50.8375;5
1254536;50.95;5
1254537;51.8;5
1254538;52.1875;5
1254539;51.9375;5
1254540;52.4125;5
1254541;52.225;5
1254542;52.325;5
1254543;52.8;5
1254544;52.45;5
1254545;51.725;5
1254546;50.825;5
1254547;49.9;5
1254548;49.35064935064935;5
1254549;48.25;5
1254550;46.6;5
1254551;45.7875;5
1254552;44.95;4
1254553;43.4875;4
1254554;42.6875;4
1254555;42.275;4
1254556;41.8125;3
1254557;42.05;4
1254558;44.5875;4
1254559;46.8125;5
1254560;45.5875;5
1254561;46.1875;5
1254562;50.6125;5
1254563;51.4375;5
1254564;50.775;5
1254565;49.925;5
1254566;47.5125;5
1254567;46.975;5
1254568;45.8875;5
