timestamp;co2;confort
5017090;369.0;5
5017091;364.0;5
5017092;389.0;5
5017093;328.2;5
5017094;383.8;5
5017095;418.6;4
5017096;434.2;4
5017097;412.8;4
5017098;377.4;5
5017099;291.0;5
5017100;318.6;5
5017101;309.8;5
5017102;294.2;5
5017103;252.6;5
5017104;263.4;5
5017105;321.6;5
5017106;405.8;4
5017107;353.0;5
5017108;381.8;5
5017109;401.0;4
5017110;389.4;5
5017111;409.6;4
5017112;410.8;4
5017113;345.2;5
5017114;333.8;5
5017115;318.0;5
5017116;360.8;5
5017117;379.4;5
5017118;401.0;4
5017119;390.6;5
5017120;375.4;5
5017121;322.4;5
5017122;364.2;5
5017123;382.0;5
5017124;355.8;5
5017125;302.4;5
5017126;286.6;5
5017127;301.0;5
5017128;294.0;5
5017129;409.2;4
5017130;382.4;5
5017131;332.2;5
5017132;414.0;4
5017133;329.2;5
5017134;360.6;5
5017135;328.4;5
5017136;377.6;5
5017137;305.0;5
5017138;245.0;5
5017139;234.2;5
5017140;228.8;5
5017141;240.8;5
5017142;235.4;5
5017143;233.6;5
5017144;240.0;5
5017145;246.4;5
5017146;256.4;5
5017147;233.2;5
5017148;240.4;5
5017149;233.6;5
5017150;236.4;5
5017151;225.8;5
5017152;234.8;5
5017153;241.2;5
5017154;241.6;5
5017155;233.6;5
5017156;237.2;5
5017157;243.4;5
5017158;230.2;5
5017159;227.2;5
5017160;237.2;5
5017161;231.6;5
5017162;242.4;5
5017163;236.4;5
5017164;222.8;5
5017165;242.8;5
5017166;233.8;5
5017167;240.0;5
5017168;240.0;5
5017169;236.4;5
5017170;230.8;5
5017171;230.0;5
5017172;234.4;5
5017173;223.2;5
5017174;228.25;5
5017175;245.8;5
5017176;234.0;5
5017177;234.6;5
5017178;225.0;5
5017179;242.0;5
5017180;238.8;5
5017181;234.8;5
5017182;244.6;5
5017183;242.4;5
5017184;237.6;5
5017185;234.0;5
5017186;235.6;5
5017187;228.6;5
5017188;238.8;5
5017189;236.4;5
5017190;239.2;5
5017191;229.8;5
5017192;234.6;5
5017193;230.0;5
5017194;246.8;5
5017195;234.4;5
5017196;233.6;5
5017197;218.6;5
5017198;230.0;5
5017199;228.2;5
5017200;238.8;5
5017201;236.4;5
5017202;232.6;5
5017203;237.0;5
5017204;235.0;5
5017205;228.8;5
5017206;238.8;5
5017207;233.2;5
5017208;228.8;5
5017209;239.2;5
5017210;228.6;5
5017211;237.4;5
5017212;240.8;5
5017213;243.4;5
5017214;236.4;5
5017215;229.0;5
5017216;244.8;5
5017217;236.4;5
5017218;237.6;5
5017219;234.0;5
5017220;237.4;5
5017221;236.4;5
5017222;234.4;5
5017223;238.0;5
5017224;236.8;5
5017225;225.8;5
5017226;238.0;5
5017227;239.2;5
5017228;225.4;5
5017229;240.8;5
5017230;234.8;5
5017231;234.0;5
5017232;233.0;5
5017233;224.8;5
5017234;243.4;5
5017235;238.0;5
5017236;227.6;5
5017237;241.2;5
5017238;230.8;5
5017239;230.0;5
5017240;235.6;5
5017241;231.8;5
5017242;235.6;5
5017243;232.8;5
5017244;232.0;5
5017245;229.2;5
5017246;245.0;5
5017247;236.6;5
5017248;249.0;5
5017249;237.2;5
5017250;229.2;5
5017251;227.4;5
5017252;234.8;5
5017253;225.8;5
5017254;229.4;5
5017255;235.2;5
5017256;236.8;5
5017257;237.2;5
5017258;233.8;5
5017259;234.2;5
5017260;236.0;5
5017261;236.8;5
5017262;232.4;5
5017263;242.4;5
5017264;222.4;5
5017265;246.8;5
5017266;240.0;5
5017267;238.6;5
5017268;234.0;5
5017269;238.0;5
5017270;223.6;5
5017271;235.2;5
5017272;232.6;5
5017273;241.2;5
5017274;232.4;5
5017275;225.4;5
5017276;235.4;5
5017277;238.8;5
5017278;241.4;5
5017279;252.2;5
5017280;230.8;5
5017281;235.6;5
5017282;242.0;5
5017283;241.2;5
5017284;236.8;5
5017285;231.0;5
5017286;242.0;5
5017287;238.8;5
5017288;237.5;5
5017289;240.8;5
5017290;242.0;5
5017291;242.0;5
5017292;272.6;5
5017293;373.2;5
5017294;552.6;4
5017295;699.0;3
5017296;678.2;3
5017297;670.8;3
5017298;688.2;3
5017299;685.6;3
5017300;683.4;3
5017301;738.8;3
5017302;800.2;2
5017303;852.4;2
5017304;929.6;2
5017305;1006.8;1
5017306;1087.4;1
5017307;1108.8;1
5017308;1199.4;1
5017309;1292.2;0
5017310;1280.6;0
5017311;1284.0;0
5017312;1311.8;0
5017313;1289.4;0
5017314;1273.0;0
5017315;1229.0;0
5017316;1283.4;0
5017317;1300.8;0
5017318;1035.6;1
5017319;855.2;2
5017320;786.0;3
