timestamp;hum;confort
-1;;0
69681;44.59245283018868;4
69682;43.259027777777774;4
69683;55.00972222222222;4
69684;59.99512534818942;3
69685;50.166666666666664;5
69686;44.78427279053584;4
69687;50.478775226165624;5
69688;54.31805555555555;5
69689;53.15866388308977;5
69690;47.83716075156576;5
69691;56.791666666666664;4
69692;61.688718662952645;3
69693;54.708333333333336;5
69694;44.446764091858036;4
69695;49.707724425887264;5
69696;51.41597222222222;5
69697;46.282533054975644;5
69698;49.86221294363257;5
69699;54.85823488533704;5
69700;56.1231732776618;4
69701;47.9178844815588;5
69702;42.41180555555555;4
69703;48.35347222222222;5
69704;48.75156576200418;5
69705;49.24791666666667;5
69706;54.56824512534819;5
69707;58.33263888888889;3
69708;63.11760612386917;2
69709;60.512874043145445;3
69710;60.10486111111111;3
69711;60.955555555555556;3
69712;59.92693110647182;3
69713;51.364583333333336;5
69714;42.81406685236769;4
69715;46.55833333333333;5
69716;52.42936673625609;5
69717;48.708420320111344;5
69718;38.50138888888889;3
69719;49.53235908141962;5
69720;53.50173973556019;5
69721;45.13898540653231;5
69722;36.25678496868476;2
69723;50.35490605427975;5
69724;61.511805555555554;3
69725;54.420320111343074;5
69726;50.50625;5
69727;56.40918580375783;4
69728;59.52203647416413;3
69729;53.13082811412665;5
69730;43.75555555555555;4
69731;53.56645789839944;5
69732;58.96458333333333;3
69733;52.791231732776616;5
69734;38.33148019457957;3
69735;49.71955462769659;5
69736;62.75833333333333;3
69737;66.380073800738;2
69749;50.76973684210526;5
69750;51.77708333333333;5
69751;58.135416666666664;3
69752;58.74321503131524;3
69753;54.43798724309001;5
69754;47.79564606741573;5
69755;56.41111111111111;4
69756;62.625;3
69757;63.3597773138483;2
69758;61.24027777777778;3
69759;61.955555555555556;3
69760;61.302374301675975;3
69761;54.734722222222224;5
69762;60.14057063326374;3
69763;68.51844119693807;2
69764;71.46527777777777;1
69765;70.11830201809325;1
69766;71.90416666666667;1
69767;73.07435719249479;1
69768;74.87404314544189;1
69769;72.0826388888889;1
69770;66.24442896935933;2
69771;68.61736111111111;2
69772;68.64370215727209;2
69773;63.396659707724424;2
69774;57.2223766504517;4
69775;62.907446068197636;3
69776;61.76061238691719;3
69777;56.97013888888889;4
69778;53.16353514265832;5
69779;50.4875;5
69780;61.38413361169102;3
69781;60.98328690807799;3
69782;46.06388888888889;5
69783;46.05567153792624;5
69784;49.78333333333333;5
69785;42.264583333333334;4
69786;37.94224077940153;3
69787;47.53680555555555;5
69788;50.380654140570634;5
69789;45.39554317548747;5
69790;41.302083333333336;3
69791;48.31454418928323;5
69792;50.45902777777778;5
69793;51.91388888888889;5
69794;52.84272790535839;5
69795;59.7875;3
69796;59.139972144846794;3
69797;57.03409881697982;4
69798;50.138194444444444;5
69799;57.58315935977731;4
69800;59.19206680584551;3
69801;54.91458333333333;5
69802;47.25052192066806;5
69803;58.61875;3
69804;60.50766016713092;3
69805;54.94027777777778;5
69806;51.54210160055671;5
69807;58.4;3
69808;59.42797494780793;3
69809;54.87708333333333;5
69810;47.036882393876134;5
69811;55.38718662952646;4
69812;60.31180555555556;3
69813;58.86875;3
69814;58.29366736256089;3
69815;64.44791666666667;2
69816;67.14961725817676;2
69817;61.988194444444446;3
69818;59.24791086350975;3
69819;64.98051496172582;2
69820;65.76949860724234;2
69821;57.90466249130132;4
69822;54.651612903225804;5
69823;60.90355329949239;3
69824;62.52291666666667;3
69825;56.85069444444444;4
69826;55.79375;4
69827;61.127348643006265;3
69828;61.68680555555556;3
69829;54.99583333333333;5
69830;56.40625;4
69831;61.075694444444444;3
69832;58.74599860821155;3
69833;53.50277777777778;5
69834;54.59722222222222;5
69835;59.874218207088255;3
69836;60.22152777777778;3
69837;54.265831593597774;5
69838;51.84236111111111;5
69839;61.84375;3
69840;63.77638888888889;2
69841;60.60069444444444;3
69842;59.010416666666664;3
69843;57.98051496172582;4
69844;55.704861111111114;4
69845;53.009027777777774;5
69846;55.540277777777774;4
69847;58.59722222222222;3
69848;59.34375;3
69849;53.618485059068796;5
69850;49.919972164231034;5
69851;56.15486111111111;4
69852;57.328472222222224;4
69853;56.53488372093023;4
69882;31.333333333333332;2
69889;95.0;0
69965;42.824590163934424;4
70029;42.472972972972975;4
70030;41.79471120389701;3
70031;45.290277777777774;5
70032;51.511805555555554;5
70033;51.40486111111111;5
70034;42.5375;4
70035;46.71736111111111;5
70036;43.263194444444444;4
70037;41.348643006263046;3
70038;38.415277777777774;3
70039;42.045833333333334;4
70040;47.03194444444444;5
70041;49.30625;5
70042;51.291666666666664;5
