timestamp;co2;confort
17420;271.352417302799;5
17421;369.46870653685676;5
17422;366.20445062586924;5
17423;320.4193324061196;5
17424;322.26425591098746;5
17425;237.58176757132915;5
17426;236.84005563282338;5
17427;335.35326842837276;5
17428;259.95410292072324;5
17429;326.6029207232267;5
17430;568.9534075104311;4
17431;401.14534075104314;4
17432;288.1670220326937;5
17433;286.8622129436326;5
17434;368.2429078014184;5
17437;320.3337730870712;5
17438;399.03576437587657;5
17439;237.16886726893676;5
17440;252.28551532033427;5
17441;287.2990264255911;5
17442;263.68984700973573;5
17443;433.31015299026427;4
17444;332.38595271210016;5
17445;295.6743215031315;5
17446;256.03198887343535;5
17447;263.44328462073764;5
17448;411.97566063977746;4
17449;370.84075104311546;5
17450;382.8372739916551;5
17451;442.1196938065414;4
17452;408.6924147529576;4
17453;253.90472878998608;5
17454;247.72322670375522;5
17455;306.6303664921466;5
17456;339.07505211952747;5
17457;344.95625;5
17458;336.4447533009034;5
17459;377.1633078526755;5
17460;227.87421820708826;5
17461;225.87630298818624;5
17462;300.42291666666665;5
17463;312.9550561797753;5
17470;500.0;4
17491;326.1901639344262;5
17507;365.7586206896552;5
17508;251.02084781097986;5
17509;211.32361111111112;5
17510;192.49027777777778;5
17511;224.38082001389853;5
17512;222.8617606602476;5
17513;286.58089260808924;5
17514;221.28144544822794;5
17515;196.34375;5
17516;201.76580958999304;5
17517;205.39027777777778;5
17518;205.03405142460042;5
17519;224.7505211952745;5
17520;223.43234836702956;5
17528;178.171974522293;5
17529;179.5886475122635;5
17530;188.58263888888888;5
17531;187.55455177206395;5
17532;172.20389700765483;5
17533;173.14940931202224;5
17534;175.49826268241836;5
17535;174.95069444444445;5
17536;183.30437804030578;5
17537;174.14513888888888;5
17538;181.09451007644196;5
17539;216.06319444444443;5
17540;249.53014184397162;5
17541;243.28541666666666;5
17542;196.8115438108484;5
17543;221.2404447533009;5
17544;208.4736111111111;5
17545;208.66712995135512;5
17546;229.52250190694127;5
17547;187.07916666666668;5
17548;196.2786657400973;5
17549;247.80694444444444;5
17550;187.7470465601112;5
17551;179.2375;5
17552;170.7560806115358;5
17553;178.77970813064627;5
17554;301.2911744266852;5
17555;525.8471160528145;4
17556;343.42847222222224;5
17557;246.83043780403057;5
17558;202.5263888888889;5
17559;224.7810979847116;5
17560;232.8158443363447;5
17561;432.3201388888889;4
17562;588.0145934676859;4
17563;213.71677105080028;5
17564;295.3236111111111;5
17565;197.59763724808894;5
17566;190.89444444444445;5
17567;314.2473940236275;5
17568;356.89930555555554;5
17569;491.03683113273104;4
17570;353.2583333333333;5
17571;480.7484364141765;4
17572;211.71021542738012;5
17573;198.85347222222222;5
17574;245.33564975677555;5
17575;430.72013888888887;4
17576;554.1091035441278;4
17577;377.6;5
17578;479.74218207088256;4
17579;196.46458333333334;5
17580;192.76928422515635;5
17581;372.86597222222224;5
17582;300.00972897845725;5
17583;392.6125;5
17584;372.49965253648367;5
17585;435.99305555555554;4
17586;238.41000694927033;5
17587;220.30277777777778;5
17588;216.17790132036137;5
17589;209.95521102497847;5
17590;192.93815149409312;5
17591;178.9624217118998;5
17592;196.51285615010423;5
17593;215.65277777777777;5
17594;194.76719944405838;5
17595;263.8618055555556;5
17596;358.0271021542738;5
17597;262.0090340514246;5
17598;276.59236111111113;5
17599;403.1125781792912;4
17600;182.80069444444445;5
17601;175.36483669214732;5
17602;286.25573314801943;5
17603;388.3618055555556;5
17604;427.3490959666203;4
17605;342.17847222222224;5
17606;382.48158443363445;5
17607;211.30507296733842;5
17608;199.7277777777778;5
17609;349.1646977067408;5
17610;283.7986111111111;5
17611;331.8388888888889;5
17612;313.66296038915914;5
17613;279.7708333333333;5
17614;188.9048611111111;5
17615;196.9573048699133;5
17616;238.135510771369;5
17617;255.82418346073663;5
17618;338.59444444444443;5
17619;267.862404447533;5
17620;306.33703961084086;5
17621;204.6159722222222;5
17622;235.62282533054974;5
17623;203.57053509381515;5
17624;246.54652777777778;5
17625;260.79360667129953;5
17626;276.62473940236276;5
17627;313.87083333333334;5
17628;174.69305555555556;5
17629;154.69471488178024;5
17630;295.7319444444444;5
17631;203.28283530229325;5
17632;306.10833333333335;5
17633;290.19318971507994;5
17634;202.36805555555554;5
17635;173.59624739402364;5
17636;191.82222222222222;5
17637;249.406532314107;5
17638;327.58472222222224;5
17639;298.3236111111111;5
17640;267.2182070882557;5
17641;270.0799166087561;5
17642;252.3238359972203;5
17643;243.88904396371248;5
17644;260.36699729486025;5
17645;307.9402362751911;5
17646;211.45170257123002;5
17647;290.2402777777778;5
17648;238.5802640722724;5
17649;212.20917303683115;5
17650;159.13125;5
17651;209.64211257817928;5
17652;206.66272600834492;5
17653;396.0632823365786;5
17654;308.62543432939543;5
17655;151.3972222222222;5
17656;220.65948575399582;5
17657;265.97569444444446;5
17658;258.15079916608755;5
17659;154.51041666666666;5
17660;204.322762508809;5
17661;219.89645587213343;5
17662;259.3835997220292;5
17663;154.1888888888889;5
17664;203.88047255038222;5
17665;159.41041666666666;5
17666;139.67524339360222;5
17667;196.24183460736623;5
17668;230.25347222222223;5
17669;218.33194444444445;5
17670;212.85545517720638;5
17671;220.57222222222222;5
17672;225.48055555555555;5
17673;224.2348853370396;5
17674;265.71944444444443;5
17675;207.57777777777778;5
17676;158.0;5
17679;166.65648854961833;5
17680;175.88533703961085;5
17681;171.69305555555556;5
17682;176.79291174426686;5
17683;186.90257480862908;5
17684;202.65740097289785;5
17685;166.9242529534399;5
17686;174.77777777777777;5
17687;162.57261987491313;5
17688;167.7875;5
17689;209.88055555555556;5
17690;223.19388464211258;5
17691;201.95691452397497;5
17692;166.93815149409312;5
17693;182.71319444444444;5
17694;180.36831132731064;5
17695;206.48402777777778;5
17696;203.90208333333334;5
17697;196.2439193884642;5
17698;215.28541666666666;5
17699;216.87282835302292;5
17700;258.52986111111113;5
17701;255.04444444444445;5
17702;281.03683113273104;5
17703;225.9951388888889;5
17704;225.48263888888889;5
17705;241.5281445448228;5
17706;246.39930555555554;5
17707;250.11944444444444;5
17708;249.9492703266157;5
17709;226.95277777777778;5
17710;226.8769979152189;5
17711;205.51041666666666;5
17712;188.91319444444446;5
17713;180.89422407794015;5
17714;213.17095205003474;5
17715;214.27658095899932;5
17716;209.20833333333334;5
17717;199.68728283530228;5
17718;222.32291666666666;5
17719;234.13620569840168;5
17720;229.24652777777777;5
17721;223.78541666666666;5
17722;226.35927727588603;5
17723;221.23472222222222;5
17724;207.55594162612925;5
17725;217.7138888888889;5
17726;201.50382209867965;5
17727;196.2409722222222;5
17728;166.77569444444444;5
17729;212.06184850590688;5
17730;212.39375;5
17731;213.2654621264767;5
17732;171.15833333333333;5
17733;187.04930555555555;5
17734;201.43502432244614;5
17735;221.31666666666666;5
17736;220.31458333333333;5
17737;213.2800555941626;5
17738;227.64027777777778;5
17739;181.42946490618485;5
17740;171.1084086170952;5
17741;209.89027777777778;5
17742;188.73106323835998;5
17743;196.28958333333333;5
17744;191.6402226861517;5
17745;198.2576388888889;5
17746;228.10952902519168;5

