timestamp;co2;hum;lum;temp;confort
-1;;;;;0.0
1254272;326.5238095238095;45.8;370.0919540229885;24.07985714285714;3.9
1254273;333.46666666666664;44.6875;461.6589147286822;24.08154999999999;4.0
1254274;348.93333333333334;44.4125;427.7248062015504;24.24200000000001;4.0
1254275;313.78333333333336;44.3;231.42248062015503;24.11865;3.8
1254276;318.3666666666667;44.5625;360.69140625;23.95129999999999;3.8
1254277;332.23333333333335;44.0375;517.9573643410853;24.100949999999994;4.2
1254278;320.0;43.9;376.24710424710423;24.18245;3.8
1254279;328.55;43.15;405.2984496124031;24.224550000000008;4.0
1254280;319.25;42.875;356.19767441860466;24.226249999999997;3.8
1254281;304.46666666666664;42.625;276.60546875;24.282323232323236;3.8
1254282;318.73333333333335;42.0875;329.6589147286822;24.2615;3.8
1254283;323.25;41.95;334.4787644787645;24.27135;3.7
1254284;297.45;41.1375;220.76356589147287;24.19155000000001;3.7
1254285;278.95;40.7875;74.07335907335907;23.990200000000005;3.5
1254286;281.6666666666667;41.575;116.54117647058824;23.700249999999997;3.5
1254287;275.8666666666667;43.0375;39.86434108527132;23.5047;3.6
1254288;276.06666666666666;42.9125;19.401544401544403;23.27855000000001;3.6
1254289;275.7;43.5625;13.5;23.106150000000003;3.9
1254290;277.6166666666667;44.0125;13.594594594594595;22.909000000000002;3.9
1254291;275.56666666666666;44.775;14.235294117647058;22.73935000000001;3.9
1254292;274.9166666666667;45.5125;14.517374517374517;22.58135;4.0
1254293;273.4561403508772;46.1625;14.988372093023257;22.49592783505155;4.0
1254294;274.15;47.2625;15.355212355212355;22.417150000000003;4.0
1254295;276.43333333333334;48.275;16.124031007751938;22.362149999999996;4.0
1254296;276.43333333333334;50.45;17.67704280155642;22.193535353535356;4.0
1254297;274.1666666666667;51.5375;17.848249027237355;22.167400000000008;4.0
1254298;275.95;52.3625;17.74031007751938;22.101950000000006;4.0
1254299;273.6333333333333;52.975;17.46718146718147;22.020600000000005;4.0
1254300;278.01666666666665;53.45;17.434108527131784;22.004300000000004;4.0
1254301;277.1666666666667;54.125;18.28957528957529;21.932300000000005;4.0
1254302;274.5833333333333;55.0;19.627450980392158;21.85479999999999;3.9
1254303;276.98333333333335;55.1375;18.337209302325583;21.76885000000001;3.9
1254304;278.06666666666666;57.2125;19.474903474903474;21.553800000000003;3.9
1254305;276.85;58.85;20.0968992248062;21.3771;3.8
1254306;270.95;59.1125;20.525096525096526;21.308350000000004;3.8
1254307;273.1;59.2875;21.223529411764705;21.23695;3.8
1254308;274.53333333333336;58.775;19.942084942084943;21.199450000000006;3.8
1254309;273.98333333333335;58.8625;20.031007751937985;21.126150000000003;3.8
1254310;273.53333333333336;58.725;19.84108527131783;21.095600000000005;3.8
1254311;274.8;58.775;19.61003861003861;21.003282828282828;3.8
1254312;274.5833333333333;58.625;19.58823529411765;21.0201;3.8
1254313;274.81666666666666;58.7875;19.536679536679536;20.985799999999994;3.8
1254314;273.6333333333333;59.51948051948052;19.42248062015504;20.9008;3.8
1254315;276.8333333333333;59.4;19.555984555984555;20.81715;3.8
1254316;276.65;59.6625;19.531007751937985;20.7444;3.5
1254317;273.3;59.75;20.3984375;20.715600000000006;3.5
1254318;270.98333333333335;60.125;20.352713178294575;20.689300000000003;3.5
1254319;278.28333333333336;60.3;20.3062015503876;20.643050000000002;3.5
1254320;277.0833333333333;60.5375;20.22007722007722;20.551150000000003;3.5
1254321;277.8;60.9625;20.523255813953487;20.477349999999998;3.5
